event,l_space_min,l_space_mean,l_space_max,r_space_min,r_space_mean,r_space_max
1,0.200997512,0.225448676,0.260192237,0.291547595,0.298454466,0.313847097
2,0.219317122,0.233437392,0.247386338,0.32249031,0.331098793,0.344383507
2,0.218403297,0.23196551,0.245153013,0.290688837,0.306466467,0.317804972
2,0.225610283,0.242668031,0.26,0.299666481,0.308407993,0.328937684
1,0.214709106,0.232114676,0.242074369,0.316227766,0.356438652,0.411460812
3,0.216333077,0.227777337,0.236008474,0.33286634,0.36620492,0.407062649
1,0.199248588,0.216631275,0.241867732,0.344383507,0.362394432,0.384837628
2,0.180277564,0.196133053,0.203960781,0.336154726,0.347987677,0.358468967
1,0.186010752,0.210313651,0.228035085,0.358468967,0.39211759,0.427200187
3,0.214009346,0.220058833,0.228035085,0.366196668,0.389497154,0.408166633
1,0.212132034,0.222077255,0.226715681,0.254950976,0.279338307,0.342052628
2,0.197989899,0.206300417,0.212132034,0.262488095,0.296460525,0.322024844
1,0.183847763,0.208450928,0.274590604,0.290688837,0.297416345,0.304138127
3,0.162788206,0.185037999,0.223606798,0.286356421,0.294161339,0.308706981
1,0.181107703,0.200135374,0.219317122,0.291547595,0.301943527,0.310161248
2,0.210950231,0.220626413,0.230867928,0.282311884,0.290376727,0.300832179
2,0.210950231,0.214554437,0.219317122,0.286356421,0.291365733,0.295465734
1,0.214709106,0.2447632,0.266270539,0.282311884,0.285390454,0.291547595
1,0.140356688,0.198254179,0.252388589,0.300832179,0.350939921,0.375765885
2,0.150332964,0.162757039,0.177200451,0.313847097,0.318029293,0.326496554
4,0.180277564,0.204993447,0.22090722,0.296816442,0.306145096,0.32249031
1,0.181107703,0.199712033,0.22,0.295465734,0.308135937,0.326496554
4,0.181107703,0.193401452,0.219317122,0.317647603,0.328770868,0.358468967
1,0.199248588,0.265373789,0.348281495,0.331058907,0.364424182,0.389101529
2,0.242074369,0.277566823,0.310644491,0.286356421,0.320292997,0.354682957
1,0.220227155,0.246283556,0.270185122,0.27784888,0.286385501,0.30016662
4,0.212602916,0.223681691,0.240831892,0.272946881,0.341738553,0.402492236
3,0.161245155,0.203709794,0.241867732,0.326955654,0.335235488,0.344383507
2,0.165529454,0.20988555,0.253179778,0.313209195,0.325777358,0.335410197
2,0.147648231,0.164760757,0.18973666,0.315753068,0.326958884,0.339558537
4,0.202484567,0.241768915,0.284253408,0.298328678,0.330141793,0.351140997
2,0.131529464,0.185506801,0.244131112,0.298328678,0.325847724,0.366878727
2,0.141421356,0.165883181,0.196468827,0.333766385,0.391958262,0.480104155
2,0.20880613,0.255677091,0.312409987,0.366742416,0.444748102,0.470425339
3,0.241867732,0.274725138,0.292061637,0.327566787,0.389123439,0.45880279
2,0.19,0.219694186,0.237697286,0.282842712,0.324071054,0.40607881
2,0.17691806,0.201263802,0.228035085,0.30016662,0.396369412,0.485077313
3,0.218403297,0.278560472,0.349284984,0.321403174,0.379495096,0.421544778
2,0.272946881,0.287986871,0.298328678,0.30016662,0.394967224,0.490306027
3,0.241867732,0.283864483,0.342052628,0.427200187,0.437257374,0.453982379
2,0.250798724,0.282008715,0.311126984,0.317647603,0.404797897,0.475394573
2,0.234093998,0.250239228,0.280178515,0.411096096,0.444198524,0.510783712
1,0.237697286,0.265178943,0.286006993,0.345398321,0.361533956,0.392937654
1,0.250798724,0.262881686,0.276586334,0.310483494,0.358689828,0.444184646
4,0.202237484,0.227380314,0.252982213,0.425440948,0.446475629,0.468721666
4,0.141421356,0.197667445,0.242074369,0.335410197,0.427903816,0.49729267
4,0.18973666,0.230448559,0.290688837,0.294278779,0.369759463,0.480104155
1,0.228254244,0.249598051,0.273130006,0.371214224,0.393205972,0.449444101
2,0.192093727,0.212343794,0.240831892,0.402616443,0.409585681,0.424499706
1,0.161245155,0.186668491,0.211896201,0.367695526,0.385807946,0.412310563
1,0.160312195,0.163166036,0.171172428,0.44384682,0.457618858,0.475394573
2,0.152970585,0.170952882,0.18973666,0.308868904,0.340962522,0.398246155
2,0.16643317,0.215587854,0.266270539,0.32249031,0.382554286,0.433820239
1,0.228035085,0.245777837,0.252388589,0.380131556,0.449275125,0.575586657
2,0.222036033,0.238503364,0.276586334,0.192353841,0.433762973,0.542309875
1,0.230217289,0.274570067,0.332415403,0.178885438,0.252305892,0.3
2,0.294108823,0.316228366,0.326955654,0.211896201,0.288686291,0.382753184
1,0.186815417,0.22193044,0.269072481,0.427200187,0.492257547,0.559732079
2,0.186815417,0.210009601,0.23430749,0.386264158,0.434924281,0.464865572
1,0.242074369,0.26650847,0.30528675,0.373630834,0.386990863,0.408166633
2,0.20880613,0.230773554,0.280178515,0.380788655,0.404539634,0.427200187
1,0.191049732,0.204531672,0.221359436,0.371214224,0.447658866,0.570087713
2,0.224722051,0.238098853,0.266270539,0.298328678,0.437152166,0.496487663
1,0.233238076,0.284786411,0.358050276,0.233452351,0.289038234,0.33015148
2,0.202484567,0.246834709,0.295465734,0.342052628,0.379801223,0.411825206
2,0.180277564,0.191016041,0.202484567,0.372155881,0.426867762,0.564623769
1,0.228473193,0.278040917,0.319061123,0.478016736,0.519804926,0.594138031
